TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,ICB Industry,ICB Super-Sector Name,Start Date,Country of Incorporation,Trading Currency,Security Mkt Cap (in £m),LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
ASLI,ABERDEEN STANDARD EUROPEAN LOGISTICS INCOME PLC,ORD 1P,GB00BD9PXH49,SHRS,Financials,Financial Services,15/12/2017,United Kingdom,GBX,£198.28,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON10
ASL,ABERFORTH SMALLER COMPANIES TRUST PLC,ORD 1P,GB0000066554,SHRS,Financials,Financial Services,31/10/2003,United Kingdom,GBX,"£1,250.87",MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
ASIT,ABERFORTH SPLIT LEVEL INCOME TRUST PLC,ORD 1P,GB00BYPBD394,SHRS,Financials,Financial Services,03/07/2017,United Kingdom,GBX,£108.41,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
ASIZ,ABERFORTH SPLIT LEVEL INCOME TRUST PLC,ZDP 1P,GB00BYPBD519,SHRS,Financials,Financial Services,03/07/2017,United Kingdom,GBX,£51.84,MAIN MARKET,Standard Shares,SSQ3,SQS3
ABZA,ABZENA PLC,ORD GBP0.002,GB00BN65QN46,SHRS,Health Care,Healthcare,10/07/2014,United Kingdom,GBX,£60.94,AIM,,ASQ1,AMQ1
ACA,ACACIA MINING PLC,ORD 10P,GB00B61D2N63,SHRS,Basic Materials,Basic Resources,19/03/2010,United Kingdom,GBX,£760.71,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
ACC,ACCESS INTELLIGENCE PLC,ORD 0.5P,GB0033835264,SHRS,Technology,Technology,01/12/2003,United Kingdom,GBX,£16.06,AIM,,ASX1,AIMP
ACSO,ACCESSO TECHNOLOGY GROUP PLC,ORD 1P,GB0001771426,SHRS,Technology,Technology,24/04/2002,United Kingdom,GBX,£590.82,AIM,,ASQ1,AMQ1
ACRL,ACCROL GROUP HOLDINGS PLC,ORD GBP0.001,GB00BZ6VT592,SHRS,Consumer Goods,Personal & Household Goods,10/06/2016,United Kingdom,GBX,£41.28,AIM,,ASQ1,AMQ1
AXS,ACCSYS TECHNOLOGIES PLC,ORD EUR0.05,GB00BQQFX454,SHRS,Industrials,Construction & Materials,12/09/2014,United Kingdom,GBX,£87.87,AIM,,SSMU,AIMM
ACD,ACENCIA DEBT STRATEGIES LTD,ORD NPV,GB00B0MSB420,SHRS,Financials,Financial Services,24/11/2005,Guernsey,USD,£58.67,MAIN MARKET,,SET3,ON15
ACH,ACHP PLC,ORD 2P,GB00B1Z5KB73,SHRS,Financials,Insurance,18/12/2007,United Kingdom,GBX,£13.58,AIM,,ASQ1,AMQ1
AIF,ACORN INCOME FUND LD,ORD 1P,GB0004829437,SHRS,,,13/09/1999,Guernsey,GBX,£74.97,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
AIFZ,ACORN INCOME FUND LD,RED ZDP 1P,GG00BYMJ7X48,SHRS,,,01/02/2017,Guernsey,GBX,,MAIN MARKET,Standard Shares,SSQ3,SQS3
AHCG,ACTION HOTELS PLC,ORD 10P,JE00BFZD1492,SHRS,Consumer Services,Travel & Leisure,23/12/2013,Jersey,GBX,£36.91,AIM,,ASQ1,AMQ1
AEG,ACTIVE ENERGY GROUP PLC,ORD 1P,GB00B1YMN108,SHRS,Oil & Gas,Oil & Gas,02/07/2007,United Kingdom,GBX,£34.19,AIM,,ASQ1,AMQ1
ACT,ACTUAL EXPERIENCE PLC,ORD 0.2P,GB00BJ05QC14,SHRS,Technology,Technology,13/02/2014,United Kingdom,GBX,£127.73,AIM,,ASQ1,AMQ1
ADAM,ADAMAS FINANCE ASIA LIMITED,ORD NPV (DI),VGG008271246,SHRS,Financials,Financial Services,21/09/2017,British Virgin Islands,USD,£40.77,AIM,,ASQ1,AMQ1
ADA,ADAMS PLC,ORD EUR0.01,IM00B986V543,SHRS,Financials,Real Estate,12/03/2013,Isle of Man,EUR,£3.62,AIM,,ASQ1,AMQ1
AD4,ADEPT4 PLC ,ORD 1P,GB00B8GRBX01,SHRS,Technology,Technology,02/04/2013,United Kingdom,GBX,£6.93,AIM,,ASX1,AIMP
ADT,ADEPT TELECOM PLC,ORD 10P,GB00B0WY3Y47,SHRS,Telecommunications,Telecommunications,19/09/2006,United Kingdom,GBX,£68.74,AIM,,ASX1,AIMP
ADES,ADES INTERNATIONAL HOLDING LTD,ORD USD1.00 (DI),AEDFXA1EN018,SHRS,Oil & Gas,Oil & Gas,12/05/2017,United Arab Emirates,USD,£408.07,MAIN MARKET,Standard Shares,SSMU,SMEU
ADM,ADMIRAL GROUP PLC,ORD 0.1P,GB00B02J6398,SHRS,Financials,Insurance,20/12/2004,United Kingdom,GBX,"£5,307.72",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
AMS,ADVANCED MEDICAL SOLUTIONS GROUP PLC,ORD 5P,GB0004536594,SHRS,Health Care,Healthcare,30/04/2002,United Kingdom,GBX,£691.10,AIM,,AMSM,AS50
AVO,ADVANCED ONCOTHERAPY PLC,ORD 25P,GB00BD6SX109,SHRS,Health Care,Healthcare,01/07/2016,United Kingdom,GBX,£46.13,AIM,,ASX1,AIMP
AFN,ADVFN PLC,ORD 0.2P,GB00BPT24C10,SHRS,Financials,Financial Services,21/08/2014,United Kingdom,GBX,£13.07,AIM,,ASX1,AIMP
87FZ,AECI LD,5 1/2% CUM PRF R2,ZAE000000238,SHRS,Basic Materials,Chemicals,28/06/2002,South Africa,GBX,,MAIN MARKET,Standard Shares,SSX4,SXSN
AEO,AEOREMA COMMUNICATIONS PLC,ORD 12.5P,GB00B4QHH456,SHRS,Consumer Services,Media,29/06/2009,United Kingdom,GBX,£2.67,AIM,,ASX1,AIMP
AEWL,AEW UK LONG LEASE REIT PLC,ORD GBP0.01,GB00BDVK7088,SHRS,Financials,Real Estate,06/06/2017,United Kingdom,GBX,£80.18,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
AEWU,AEW UK REIT PLC,ORD GBP0.01,GB00BWD24154,SHRS,Financials,Real Estate,12/05/2015,United Kingdom,GBX,£151.56,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
AFRK,AFARAK GROUP PLC,ORD NPV (DI),FI0009800098,SHRS,Basic Materials,Basic Resources,26/07/2010,Finland,GBX,£217.01,MAIN MARKET,Standard Shares,SSQ3,SQS3
AFC,AFC ENERGY PLC,ORD 0.1P,GB00B18S7B29,SHRS,Oil & Gas,Oil & Gas,24/04/2007,United Kingdom,GBX,£43.04,AIM,,AMSM,ASM8
AFHP,AFH FINANCIAL GROUP PLC,ORD 10P,GB00B4W5WQ08,SHRS,Financials,Financial Services,30/06/2014,United Kingdom,GBX,£125.95,AIM,,ASQ1,AMQ1
