TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,ICB Industry,ICB Super-Sector Name,Start Date,Country of Incorporation,Trading Currency,Security Mkt Cap (in £m),LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
CGT,CAPITAL GEARING TRUST PLC,ORD 25P,GB0001738615,SHRS,Financials,Financial Services,14/09/1999,United Kingdom,GBX,£215.37,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
CAL,CAPITAL & REGIONAL PLC,ORD 1P,GB0001741544,SHRS,Financials,Real Estate,08/04/2004,United Kingdom,GBX,£405.11,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
CPI,CAPITA PLC,ORD 2.066666P,GB00B23K0M20,SHRS,Industrials,Industrial Goods & Services,17/09/2007,United Kingdom,GBX,"£1,217.92",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CPX,CAP-XX LIMITED,ORD NPV,AU0000XINAS1,SHRS,Industrials,Industrial Goods & Services,20/03/2007,Australia,GBX,£36.16,AIM,,ASQ1,AMQ1
CIFR,CARADOR INCOME FUND PLC,REPURCHASE POOL SHS,IE00BF7TWD13,SHRS,Financials,Financial Services,22/11/2017,Ireland,USD,£73.65,MAIN MARKET - SFS,,SFM2,SFQQ
CIFU,CARADOR INCOME FUND PLC,ORD NPV (USD),IE00B3D60Z08,SHRS,Financials,Financial Services,09/12/2008,Ireland,USD,£190.00,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
CAR,CARCLO PLC,ORD 5P,GB0001751915,SHRS,Basic Materials,Chemicals,13/11/2000,United Kingdom,GBX,£61.12,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC6
CARD,CARD FACTORY PLC,ORD 1P,GB00BLY2F708,SHRS,Consumer Services,Retail,20/05/2014,United Kingdom,GBX,£659.36,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CDFF,CARDIFF PROPERTY PLC,ORD 20P,GB0001754257,SHRS,Financials,Real Estate,14/09/1999,United Kingdom,GBX,£21.99,MAIN MARKET,Premium Equity Commercial Companies,SSQ3,SQQ3
CTH,CARETECH HOLDINGS PLC,ORD 0.5P,GB00B0KWHQ09,SHRS,Health Care,Healthcare,13/03/2007,United Kingdom,GBX,£297.25,AIM,,AMSM,AS50
CIHL,CARIBBEAN INVESTMENT HOLDINGS LIMITED,ORD NPV (DI),BZP211481122,SHRS,Financials,Banks,31/10/2017,Belize,GBX,£27.37,AIM,,ASX1,AIMP
CLLN,CARILLION PLC,ORD 50P,GB0007365546,SHRS,Industrials,Industrial Goods & Services,31/10/2003,United Kingdom,GBX,£0.00,MAIN MARKET,,SET3,ON10
CCL,CARNIVAL PLC,ORD USD 1.66,GB0031215220,SHRS,Consumer Services,Travel & Leisure,22/04/2003,United Kingdom,GBX,"£10,387.07",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
CPR,CARPETRIGHT PLC,ORD 1P,GB0001772945,SHRS,Consumer Services,Retail,31/10/2003,United Kingdom,GBX,£57.06,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC6
CARR,CARR'S GROUP PLC,ORD 2.5P,GB00BRK01058,SHRS,Consumer Goods,Food & Beverage,14/01/2015,United Kingdom,GBX,£130.71,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC6
CASP,CASPIAN SUNRISE PLC,ORD 1P,GB00B1W0VW36,SHRS,Oil & Gas,Oil & Gas,22/05/2007,United Kingdom,GBX,£154.44,AIM,,ASX1,AIMP
CGS,CASTINGS PLC,ORD 10P,GB0001795680,SHRS,Industrials,Industrial Goods & Services,02/12/2005,United Kingdom,GBX,£201.14,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON15
CTP,CASTLETON TECHNOLOGY PLC,ORD 2P,GB00BYV2WV72,SHRS,Technology,Technology,23/10/2015,United Kingdom,GBX,£53.25,AIM,,ASX1,AIMP
CMX,CATALYST MEDIA GROUP PLC,ORD 10P,GB00B282R334,SHRS,Consumer Services,Media,26/10/2007,United Kingdom,GBX,£14.93,AIM,,ASX1,AIMP
CAT,CATCO REINSURANCE OPPORTUNITIES FUND LIMITED,ORD USD0.00013716 (DI),BMG1961Q2095,SHRS,Financials,Financial Services,30/01/2015,Bermuda,USD,£221.03,MAIN MARKET - SFS,,SFM2,SFQQ
CATC,CATCO REINSURANCE OPPORTUNITIES FUND LIMITED,C SHS USD0.0001 (DI),BMG1961Q1592,SHRS,Financials,Financial Services,01/12/2017,Bermuda,USD,£390.94,MAIN MARKET - SFS,,SFM2,SFQQ
CTI,CATHAY INTERNATIONAL HOLDINGS LD,COM SHS $0.05,BMG1965E1030,SHRS,Health Care,Healthcare,20/03/2007,Bermuda,GBX,£25.10,MAIN MARKET,Premium Equity Commercial Companies,SSX3,SQNC
CCR,C&C GROUP PLC,ORD EUR0.01,IE00B010DT83,SHRS,Consumer Goods,Food & Beverage,08/07/2005,Ireland,EUR,£823.86,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON5
CCJI,CC JAPAN INCOME & GROWTH TRUST PLC,ORD GBP0.01,GB00BYSRMH16,SHRS,Financials,Financial Services,15/12/2015,United Kingdom,GBX,£179.56,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
CLTV,CELLCAST PLC,ORD 1P,GB00B0GWFM68,SHRS,Consumer Services,Media,21/09/2005,United Kingdom,GBX,£1.98,AIM,,ASX1,AIMP
CLL,CELLO GROUP PLC,ORD 10P,GB00B0310763,SHRS,Consumer Services,Media,20/03/2007,United Kingdom,GBX,£124.42,AIM,,ASX1,AIMP
CCP,CELTIC PLC,ORD 1P,GB0004339189,SHRS,Consumer Services,Travel & Leisure,22/12/2005,United Kingdom,GBX,£122.74,AIM,,ASX1,AIMP
CCPA,CELTIC PLC,6% CNV CUM PRF 60P,GB0004339296,SHRS,Consumer Services,Travel & Leisure,22/12/2005,United Kingdom,GBX,£19.87,AIM,,ASX1,AIMP
CCPC,CELTIC PLC,CNV PFD ORD 100P,GB0030639925,SHRS,Consumer Services,Travel & Leisure,21/09/2006,United Kingdom,GBX,£32.60,AIM,,ASX1,AIMP
CNKS,CENKOS SECURITIES PLC,ORD 1P,GB00B1FLHR07,SHRS,Financials,Financial Services,16/12/2008,United Kingdom,GBX,£61.12,AIM,,ASQ1,AMQ1
CEY,CENTAMIN PLC,ORD NPV (DI),JE00B5TT1872,SHRS,Basic Materials,Basic Resources,30/12/2011,Jersey,GBX,"£1,873.33",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CAU,CENTAUR MEDIA PLC,ORD 10P,GB0034291418,SHRS,Consumer Services,Media,08/07/2005,United Kingdom,GBX,£74.39,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON15
CAML,CENTRAL ASIA METALS PLC,ORD USD0.01,GB00B67KBV28,SHRS,Basic Materials,Basic Resources,30/09/2010,United Kingdom,GBX,£527.96,AIM,,AMSM,ASM6
CNIC,CENTRALNIC GROUP PLC,ORD 0.1P,GB00BCCW4X83,SHRS,Technology,Technology,02/09/2013,United Kingdom,GBX,£59.45,AIM,,ASQ1,AMQ1
CNA,CENTRICA PLC,ORD 6 14/81P,GB00B033F229,SHRS,Utilities,Utilities,25/10/2004,United Kingdom,GBX,"£7,473.58",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
CEPS,CEPS PLC,ORD 10P,GB00B86TNX04,SHRS,Industrials,Industrial Goods & Services,11/06/2013,United Kingdom,GBX,£6.47,AIM,,ASX1,AIMP
CWR,CERES POWER HOLDINGS PLC,ORD 1P,GB00B0351429,SHRS,Oil & Gas,Oil & Gas,13/06/2006,United Kingdom,GBX,£150.20,AIM,,AMSM,ASM6
CER,CERILLION PLC,ORD 0.5P,GB00BYYX6C66,SHRS,Technology,Technology,18/03/2016,United Kingdom,GBX,£43.53,AIM,,ASQ1,AMQ1
CGH,CHAARAT GOLD HOLDINGS LTD,ORD USD0.01 (DI),VGG203461055,SHRS,Basic Materials,Basic Resources,08/11/2007,British Virgin Islands,GBX,£78.51,AIM,,AMSM,ASM7
CGLO,CHAGALA GROUP LIMITED,ORD USD0.40 (DI),VG1574371129,SHRS,Financials,Real Estate,18/11/2015,British Virgin Islands,USD,£18.68,MAIN MARKET,Standard Shares,SSQ3,SQS3
CHAL,CHALLENGER ACQUISITIONS LIMITED,ORD GBP0.01,GG00BV0LCK35,SHRS,Financials,Financial Services,19/02/2015,Guernsey,GBX,£0.87,MAIN MARKET,Standard Shares,SSQ3,SQS3
CMH,CHAMBERLIN PLC,ORD 25P,GB0001870228,SHRS,Industrials,Industrial Goods & Services,20/03/2007,United Kingdom,GBX,£5.61,AIM,,ASQ1,AMQ1
CCT,CHARACTER GROUP PLC,ORD 5P,GB0008976119,SHRS,Consumer Goods,Personal & Household Goods,30/12/2005,United Kingdom,GBX,£94.33,AIM,,ASQ1,AMQ1
CHAR,CHARIOT OIL & GAS LIMITED,ORD 1P,GG00B2R9PM06,SHRS,Oil & Gas,Oil & Gas,16/09/2008,Guernsey,GBX,£57.29,AIM,,AMSM,ASM6
CAY,CHARLES STANLEY GROUP PLC,ORD 25P,GB0006556046,SHRS,Financials,Financial Services,08/07/2005,United Kingdom,GBX,£194.17,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON15
CTR,CHARLES TAYLOR PLC,ORD 1P,GB0001883718,SHRS,Industrials,Industrial Goods & Services,02/12/2005,United Kingdom,GBX,£199.72,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC6
CCFS,CHARTER COURT FINANCIAL SERVICES GROUP PLC,ORD 1P,GB00BD822578,SHRS,Financials,Financial Services,29/09/2017,United Kingdom,GBX,£772.39,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
CGW,CHELVERTON GROWTH TRUST PLC,ORD 1P,GB0002621349,SHRS,Financials,Financial Services,10/08/2001,United Kingdom,GBX,£3.58,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
SDV,CHELVERTON SMALL COMPANIES DIVIDEND TRUST PLC,ORD 25P,GB0006615826,SHRS,Financials,Financial Services,13/09/1999,United Kingdom,GBX,£51.98,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
BC88,CHEMRING GROUP PLC,7% CUM PRF #1,GB0001904845,SHRS,Industrials,Industrial Goods & Services,28/06/2002,United Kingdom,GBX,,MAIN MARKET,Standard Shares,SSX4,SXSN
CHG,CHEMRING GROUP PLC,ORD 1P,GB00B45C9X44,SHRS,Industrials,Industrial Goods & Services,28/03/2011,United Kingdom,GBX,£536.19,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
CCSL,CHENAVARI CAPITAL SOLUTIONS LIMITED,RED ORD NPV,GG00BYQKQC52,SHRS,,,01/12/2017,Guernsey,GBX,£91.04,MAIN MARKET - SFS,,SFM2,SFQQ
TORO,CHENAVARI TORO INCOME FUND LIMITED,EUR SHS NPV,GG00BWBSDM98,SHRS,Financials,Financial Services,08/05/2015,Guernsey,EUR,£235.48,MAIN MARKET - SFS,,SFM2,SFQQ
CSN,CHESNARA PLC,ORD 5P,GB00B00FPT80,SHRS,Financials,Insurance,08/07/2005,United Kingdom,GBX,£586.47,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
CHF,CHESTERFIELD RESOURCES PLC,ORD 0.1P,GB00BF2F1X78,SHRS,Financials,Financial Services,29/08/2017,United Kingdom,GBX,£1.54,MAIN MARKET,,SSQ3,SQS3
CNEL,CHINA NEW ENERGY LIMITED,ORD 0.025P,JE00B3RWLF12,SHRS,Oil & Gas,Oil & Gas,23/05/2011,Jersey,GBX,£7.44,AIM,,ASQ1,AMQ1
CNG,CHINA NONFERROUS GOLD LIMITED,ORD USD0.0001 (DI),KYG215771042,SHRS,Basic Materials,Basic Resources,22/11/2013,Cayman Islands,GBX,£68.64,AIM,,AMSM,ASM8
CTG,CHRISTIE GROUP PLC,ORD 2P,GB0001953156,SHRS,Industrials,Industrial Goods & Services,21/03/2006,United Kingdom,GBX,£31.17,AIM,,ASX1,AIMP
CYS,CHRYSALIS VCT PLC,ORD 1P,GB0030348683,SHRS,Financials,Financial Services,29/09/2004,United Kingdom,GBX,£18.32,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
CHH,CHURCHILL CHINA PLC,ORD 10P,GB0001961035,SHRS,Consumer Goods,Personal & Household Goods,22/04/2003,United Kingdom,GBX,£125.52,AIM,,ASX1,AIMP
CINE,CINEWORLD GROUP PLC,ORD 1P,GB00B15FWH70,SHRS,Consumer Services,Travel & Leisure,02/05/2007,United Kingdom,GBX,"£1,412.04",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CIP,CIP MERCHANT CAPITAL LIMITED,ORD NPV,GG00BF8NW879,SHRS,Financials,Financial Services,22/12/2017,Guernsey,GBX,£53.35,AIM,,ASQ1,AMQ1
CIR,CIRCASSIA PHARMACEUTICALS PLC,ORD 0.08P,GB00BJVD3B28,SHRS,Health Care,Healthcare,18/03/2014,United Kingdom,GBX,£318.46,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
CRC,CIRCLE PROPERTY PLC,ORD NPV,JE00BYP0CK63,SHRS,Financials,Real Estate,16/02/2016,Jersey,GBX,£46.69,AIM,,ASQ1,AMQ1
CITY,CITYFIBRE INFRASTRUCTURE HOLDINGS PLC,ORD 1P,GB00BH581H10,SHRS,Telecommunications,Telecommunications,17/01/2014,United Kingdom,GBX,£310.00,AIM,,AMSM,AS50
CMHY,CITY MERCHANTS HIGH YIELD TRUST LIMITED,ORD NPV,JE00B6RMDP68,SHRS,Financials,Financial Services,02/04/2012,Jersey,GBX,£181.00,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
CYN,CITY NATURAL RESOURCES HIGH YIELD TRUST PLC,ORD 25P,GB0000353929,SHRS,Financials,Financial Services,18/12/2007,United Kingdom,GBX,£81.26,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
CIN,CITY OF LONDON GROUP PLC,ORD 2P,GB00BD9GS058,SHRS,Financials,Financial Services,03/10/2017,United Kingdom,GBX,£41.37,AIM,,ASQ1,AMQ1
CLIG,CITY OF LONDON INVESTMENT GROUP PLC,ORD 1P,GB00B104RS51,SHRS,Financials,Financial Services,19/12/2006,United Kingdom,GBX,£119.27,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC6
BA47,CITY OF LONDON INVESTMENT TRUST PLC,PFD ORD STK(14% NON-CUM)#1,GB0001990059,SHRS,Financials,Financial Services,28/06/2002,United Kingdom,GBX,£2.12,MAIN MARKET,Standard Shares,SSX4,SXSN
BA69,CITY OF LONDON INVESTMENT TRUST PLC,4.2% CUM 1ST PRF STK,GB0001990612,SHRS,Financials,Financial Services,28/06/2002,United Kingdom,GBP,£26.56,MAIN MARKET,Standard Shares,SSX4,SXSN
CTY,CITY OF LONDON INVESTMENT TRUST PLC,ORD 25P,GB0001990497,SHRS,Financials,Financial Services,31/10/2003,United Kingdom,GBX,"£1,461.89",MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
CTYA,CITY OF LONDON INVESTMENT TRUST PLC,4.2% NON-CUM 2ND PRF STK #1,GB0001990836,SHRS,Financials,Financial Services,28/06/2002,United Kingdom,GBX,£0.48,MAIN MARKET,Standard Shares,SSX4,SXSN
CPC,CITY PUB GROUP PLC (THE),ORD 50P,GB00BYWRS683,SHRS,Consumer Services,Travel & Leisure,23/11/2017,United Kingdom,GBX,£99.56,AIM,,ASQ1,AMQ1
CSH,CIVITAS SOCIAL HOUSING PLC,ORD 1P,GB00BD8HBD32,SHRS,Financials,Real Estate,18/11/2016,United Kingdom,GBX,£374.50,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
CSHC,CIVITAS SOCIAL HOUSING PLC,C SHS 1P,GB00BDZZT368,SHRS,Financials,Real Estate,14/11/2017,United Kingdom,GBX,,MAIN MARKET,Standard Shares,SSMU,SMEV
CTO,CLARKE (T.) PLC,ORD 10P,GB0002015021,SHRS,Industrials,Construction & Materials,02/12/2005,United Kingdom,GBX,£34.89,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON15
CKN,CLARKSON PLC,ORD 25P,GB0002018363,SHRS,Industrials,Industrial Goods & Services,08/07/2005,United Kingdom,GBX,£952.35,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CLP,CLEAR LEISURE PLC,ORD 0.25P,GB00B50P5B53,SHRS,Financials,Financial Services,16/06/2010,United Kingdom,GBX,£1.99,AIM,,ASX1,AIMP
CLSU,CLEARSTAR INC.,ORD USD0.0001 (DI),KYG2294M1134,SHRS,Technology,Technology,14/07/2015,Cayman Islands,GBX,£17.24,AIM,,ASQ1,AMQ1
CLIN,CLINIGEN GROUP PLC,ORD 0.1P,GB00B89J2419,SHRS,Health Care,Healthcare,25/09/2012,United Kingdom,GBX,"£1,342.70",AIM,,AMSM,AS50
CLG,CLIPPER LOGISTICS PLC,ORD 0.05P,GB00BMMV6B79,SHRS,Industrials,Industrial Goods & Services,04/06/2014,United Kingdom,GBX,£443.28,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
CLON,CLONTARF ENERGY PLC,ORD 0.25P,GB00B09WLX62,SHRS,Oil & Gas,Oil & Gas,20/09/2006,United Kingdom,GBX,£2.01,AIM,,ASX1,AIMP
CBG,CLOSE BROTHERS GROUP PLC,ORD 25P,GB0007668071,SHRS,Financials,Banks,31/10/2003,United Kingdom,GBX,"£2,383.19",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CBUY,CLOUDBUY PLC,ORD 1P,GB00B09Y8Y28,SHRS,Technology,Technology,28/11/2013,United Kingdom,GBX,£4.11,AIM,,ASX1,AIMP
CALL,CLOUDCALL GROUP PLC,ORD 20P,GB00B4XS5145,SHRS,Technology,Technology,26/09/2012,United Kingdom,GBX,£38.05,AIM,,ASQ1,AMQ1
CLI,CLS HOLDINGS PLC,ORD 2.5P,GB00BF044593,SHRS,Financials,Real Estate,08/05/2017,United Kingdom,GBX,£959.42,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CLNR,CLUFF NATURAL RESOURCES PLC,ORD 0.5P,GB00B6SYKF01,SHRS,Financials,Financial Services,22/05/2012,United Kingdom,GBX,£9.11,AIM,,ASQ1,AMQ1
CMCX,CMC MARKETS PLC,ORD 25P,GB00B14SKR37,SHRS,Financials,Financial Services,10/02/2016,United Kingdom,GBX,£458.66,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
CML,CML MICROSYSTEMS PLC,ORD 5P,GB0001602944,SHRS,Technology,Technology,14/09/1999,United Kingdom,GBX,£84.41,MAIN MARKET,Standard Shares,SSX3,SQSL
COA,COATS GROUP PLC,ORD 5P,GB00B4YZN328,SHRS,Industrials,Industrial Goods & Services,06/07/2011,United Kingdom,GBX,"£1,109.44",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
85GU,COBHAM PLC,6% 2ND CUM PRF #1,GB0003430401,SHRS,Industrials,Industrial Goods & Services,28/06/2002,United Kingdom,GBX,,MAIN MARKET,Standard Shares,SSX4,SXSN
COB,COBHAM PLC,ORD 2.5P,GB00B07KD360,SHRS,Industrials,Industrial Goods & Services,11/07/2005,United Kingdom,GBX,"£3,126.24",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CCH,COCA-COLA HBC AG,ORD CHF6.70 (CDI),CH0198251305,SHRS,Consumer Goods,Food & Beverage,29/04/2013,Switzerland,GBX,"£8,690.74",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
CHRT,COHORT PLC,ORD 10P,GB00B0YD2B94,SHRS,Industrials,Industrial Goods & Services,16/12/2008,United Kingdom,GBX,£142.74,AIM,,ASQ1,AMQ1
CFX,COLEFAX GROUP PLC,ORD 10P,GB0002090453,SHRS,Consumer Goods,Personal & Household Goods,24/03/2005,United Kingdom,GBX,£54.68,AIM,,ASX1,AIMP
COS,COLLAGEN SOLUTIONS PLC,ORD 1P,GB00B94T6Y14,SHRS,Health Care,Healthcare,05/04/2013,United Kingdom,GBX,£8.11,AIM,,ASQ1,AMQ1
CERP,COLUMBUS ENERGY RESOURCES PLC,ORD 0.05P,GB00BDGJ2R22,SHRS,Oil & Gas,Oil & Gas,08/03/2017,United Kingdom,GBX,£35.38,AIM,,ASQ1,AMQ1
CZB,COMMERZBANK AG,ORD NPV,DE000CBK1001,SHRS,Financials,Banks,24/04/2013,Germany,EUR,"£14,566.14",MAIN MARKET,Standard Shares,SSMU,SMEV
CMS,COMMUNISIS PLC,ORD 25P,GB0006683238,SHRS,Industrials,Industrial Goods & Services,08/07/2005,United Kingdom,GBX,£142.54,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC6
COD,COMPAGNIE DE SAINT-GOBAIN,COMPAGNIE DE ST-GOBAIN ORD SHS,FR0000125007,SHRS,Industrials,Construction & Materials,07/11/2007,France,EUR,"£23,247.51",MAIN MARKET,Standard Shares,SSMU,SMEV
CPG,COMPASS GROUP PLC,ORD 11 1/20P,GB00BD6K4575,SHRS,Consumer Services,Travel & Leisure,27/06/2017,United Kingdom,GBX,"£23,472.98",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
COM,COMPTOIR GROUP PLC,ORD 1P,GB00BYT1L205,SHRS,Consumer Services,Travel & Leisure,21/06/2016,United Kingdom,GBX,£23.31,AIM,,ASQ1,AMQ1
CCC,COMPUTACENTER PLC,ORD 7 5/9P,GB00BV9FP302,SHRS,Technology,Technology,20/02/2015,United Kingdom,GBX,"£1,393.74",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CPT,CONCEPTA PLC,ORD 2.5P,GB00BYZ2R301,SHRS,Health Care,Healthcare,26/07/2016,United Kingdom,GBX,£10.40,AIM,,ASQ1,AMQ1
CHA,CONCHA PLC,ORD 0.1P,GB00B8Y82097,SHRS,Consumer Goods,Personal & Household Goods,08/04/2013,United Kingdom,GBX,£3.53,AIM,,ASX1,AIMP
CNC,CONCURRENT TECHNOLOGIES PLC,ORD 1P,GB0002183191,SHRS,Technology,Technology,23/09/2004,United Kingdom,GBX,£52.72,AIM,,ASX1,AIMP
CNR,CONDOR GOLD PLC,ORD 20P,GB00B8225591,SHRS,Basic Materials,Basic Resources,26/06/2012,United Kingdom,GBX,£31.30,AIM,,ASX1,AIMP
CNCT,CONNECT GROUP PLC,ORD 5P,GB00B17WCR61,SHRS,Industrials,Industrial Goods & Services,12/09/2006,United Kingdom,GBX,£185.25,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
CON,CONNEMARA MINING COMPANY PLC,ORD EUR0.01,IE00B2357X72,SHRS,Basic Materials,Basic Resources,31/07/2007,Ireland,GBX,£3.78,AIM,,ASX1,AIMP
CGNR,CONROY GOLD & NATURAL RESOURCES PLC,ORD EUR0.001,IE00BZ4BTZ13,SHRS,Basic Materials,Basic Resources,15/12/2015,Ireland,GBX,£5.32,AIM,,ASX1,AIMP
CSRT,CONSORT MEDICAL PLC,ORD 10P,GB0000946276,SHRS,Health Care,Healthcare,08/07/2005,United Kingdom,GBX,£589.42,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
CGO,CONTANGO HOLDINGS PLC,ORD 1P,GB00BF0F5X78,SHRS,Financials,Financial Services,01/11/2017,United Kingdom,GBX,£1.61,MAIN MARKET,,SSQ3,SQS3
GLO,CONTOURGLOBAL PLC,ORD 1P,GB00BF448H58,SHRS,Utilities,Utilities,14/11/2017,United Kingdom,GBX,"£1,692.88",MAIN MARKET,Premium Equity Commercial Companies,SET3,ON10
CTEC,CONVATEC GROUP PLC,ORD 10P,GB00BD3VFW73,SHRS,Health Care,Healthcare,29/10/2016,United Kingdom,GBX,"£3,946.64",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CVR,CONVIVIALITY PLC,ORD 0.02P,GB00BC7H5F74,SHRS,Consumer Services,Retail,31/07/2013,United Kingdom,GBX,£597.46,AIM,,AMSM,AS50
CIC,CONYGAR INVESTMENT COMPANY PLC (THE),ORD 5P,GB0033698720,SHRS,Financials,Real Estate,01/02/2007,United Kingdom,GBX,£101.04,AIM,,ASQ1,AMQ1
CORA,CORA GOLD LIMITED,ORD NPV (DI),VGG2423W1077,SHRS,Basic Materials,Basic Resources,09/10/2017,British Virgin Islands,GBX,£8.19,AIM,,ASQ1,AMQ1
CRU,CORAL PRODUCTS PLC,ORD 1P,GB0002235736,SHRS,Industrials,Industrial Goods & Services,06/09/2011,United Kingdom,GBX,£7.75,AIM,,ASQ1,AMQ1
CNS,CORERO NETWORK SECURITY PLC,ORD 1P,GB00B54X0432,SHRS,Technology,Technology,30/06/2009,United Kingdom,GBX,£20.12,AIM,,ASX1,AIMP
COST,COSTAIN GROUP PLC,ORD 50P,GB00B64NSP76,SHRS,Industrials,Construction & Materials,10/05/2010,United Kingdom,GBX,£484.49,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
CSP,COUNTRYSIDE PROPERTIES PLC,ORD 1P,GB00BYPHNG03,SHRS,Consumer Goods,Personal & Household Goods,17/02/2016,United Kingdom,GBX,"£1,423.80",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CWD,COUNTRYWIDE PLC,ORD 1P,GB00B9NWP991,SHRS,Financials,Real Estate,20/03/2013,United Kingdom,GBX,£202.00,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
CPS,CPL RESOURCES PLC,EUR0.10,IE0007214426,SHRS,Industrials,Industrial Goods & Services,02/06/2000,Ireland,GBX,£144.01,AIM,,ASQ1,AMQ1
CPP,CPPGROUP PLC,ORD 1P,GB00B5W55H93,SHRS,Industrials,Industrial Goods & Services,19/03/2010,United Kingdom,GBX,£113.53,AIM,,AMSM,ASM7
NCYF,CQS NEW CITY HIGH YIELD FUND LIMITED,ORD NPV,JE00B1LZS514,SHRS,Financials,Financial Services,07/03/2007,Jersey,GBX,£239.00,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
CRA,CRADLE ARC PLC,ORD GBP0.0001,GB00BYZ6H873,SHRS,Basic Materials,Basic Resources,24/01/2018,United Kingdom,GBX,£19.83,AIM,,ASQ1,AMQ1
CRW,CRANEWARE PLC,ORD 1P,GB00B2425G68,SHRS,Technology,Technology,13/09/2007,United Kingdom,GBX,£506.21,AIM,,ASQ1,AMQ1
CWK,CRANSWICK PLC,ORD 10P,GB0002318888,SHRS,Consumer Goods,Food & Beverage,08/07/2005,United Kingdom,GBX,"£1,496.80",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CRV,CRAVEN HOUSE CAPITAL PLC,ORD USD1.00,GB00BD4FQ360,SHRS,Financials,Financial Services,04/08/2016,United Kingdom,USD,£9.09,AIM,,ASQ1,AMQ1
CRAW,CRAWSHAW GROUP PLC,ORD 5P,GB00B2PQMW21,SHRS,Consumer Services,Retail,11/04/2008,United Kingdom,GBX,£9.83,AIM,,ASX1,AIMP
CRL,CREIGHTONS PLC,ORD 1P,GB0002341666,SHRS,Consumer Goods,Personal & Household Goods,16/03/2006,United Kingdom,GBX,£20.30,MAIN MARKET,Premium Equity Commercial Companies,SSQ3,SQQ3
CREO,CREO MEDICAL GROUP PLC,ORD GBP0.001,GB00BZ1BLL44,SHRS,Health Care,Healthcare,09/12/2016,United Kingdom,GBX,£59.00,AIM,,ASQ1,AMQ1
CRST,CREST NICHOLSON HOLDINGS PLC,ORD 5P,GB00B8VZXT93,SHRS,Consumer Goods,Personal & Household Goods,16/02/2013,United Kingdom,GBX,"£1,293.00",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
